PANONCEAU;NOM MAGASIN;CENTRALE;LUNDI_HO;LUNDI_HF_MIDI;LUNDI_HO_MIDI;LUNDI_HF;MARDI_HO;MARDI_HF_MIDI;MARDI_HO_MIDI;MARDI_HF;MERCREDI_HO;MERCREDI_HF_MIDI;MERCREDI_HO_MIDI;MERCREDI_HF;JEUDI_HO;JEUDI_HF_MIDI;JEUDI_HO_MIDI;JEUDI_HF;VENDREDI_HO;VENDREDI_HF_MIDI;VENDREDI_HO_MIDI;VENDREDI_HF;SAMEDI_HO;SAMEDI_HF_MIDI;SAMEDI_HO_MIDI;SAMEDI_HF;DIMANCHE_HO;DIMANCHE_HF_MIDI;DIMANCHE_HO_MIDI;DIMANCHE_HF;GPS_LATITUDE;GPS_LONGITUDE;ADRESSE;CP;VILLE;TEL;FAX;JOURS_FERIES_NATION;URL_MAGASIN;INSEE;CONCEPT_ANIMALERIE;CONCEPT_AUTO;CONCEPT_BIJOUX;CONCEPT_BORNE;CONCEPT_BRICO;CONCEPT_DRIVE;CONCEPT_ESPACE_CULTUREL;CONCEPT_EXPRESS;CONCEPT_JARDIN;CONCEPT_JOUET;CONCEPT_LOCATION;CONCEPT_OPTIQUE;CONCEPT_PARAPHARMACIE;CONCEPT_SPORT;CONCEPT_STATION;CONCEPT_UHPS;CONCEPT_VOYAGES
2513;ISTRES;LECASUD;08:45;;;20:30;08:45;;;20:30;08:45;;;20:30;08:45;;;20:30;08:45;;;20:30;08:45;;;20:30;;;;;43.51984;4.964139;QUARTIER LES CRAUX LES BOUCASSONS;13800;ISTRES;04.42.11.15.00;04.42.55.13.31;25-12;www.e-leclerc.com/istres;13047;N;N;Y;N;N;Y;N;N;N;N;N;Y;N;N;Y;N;Y
0991;VIRY;SCADIF;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;;;;;48.66478;2.376933;28 ROUTE DE GRIGNY;91170;VIRY CHATILLON CEDEX;01.69.12.51.51;01.69.12.51.52;25-12;www.e-leclerc.com/viry;91687;N;N;Y;Y;N;Y;N;N;N;N;Y;Y;Y;N;Y;N;Y
0992;LEVALLOIS;SCADIF;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;09:00;;;21:00;;;;;48.89311;2.29865;38 rue d'Alsace;92300;LEVALLOIS PERRET;01.41.27.91.60;01.47.30.95.08;25-12;www.e-leclerc.com/levallois;92044;N;N;Y;N;Y;N;N;N;N;N;Y;Y;Y;N;Y;N;Y
1969;GLEIZE;SOCARA ;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;12:45;;;45.983425;4.700086;RUE DE TARARE;69400;GLEIZE;04.74.02.24.24;04.74.62.20.84;15-08,01-11,11-11,25-12;www.e-leclerc.com/gleize;69264;N;N;Y;N;N;Y;N;N;N;N;N;Y;N;N;Y;N;Y
4329;GOUESNOU;SCARMOR;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;21:00;08:30;;;20:00;;;;;48.429016;-4.470105;Kergaradec;29850;GOUESNOU;02.98.41.20.20;02.98.41.20.21;15-08,01-11,11-11,25-12;www.e-leclerc.com/gouesnou;29061;N;N;Y;N;N;Y;Y;N;N;N;Y;Y;Y;N;Y;N;Y
4429;LANDERNEAU;SCARMOR;09:00;;;19:50;09:00;;;19:50;09:00;;;19:50;09:00;;;19:50;09:00;;;20:20;09:00;;;19:50;;;;;48.463745;-4.261301;ROUTE DU LECK;29419;LANDERNEAU CEDEX;02.98.21.47.11;02.98.21.43.68;15-08,01-11,11-11,25-12;www.e-leclerc.com/landerneau;29103;N;Y;Y;N;N;Y;Y;Y;N;N;Y;Y;Y;N;Y;N;Y
4529;FOUESNANT / PLEUVEN;SCARMOR;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;08:30;;;20:00;09:00;13:00;;;47.902225;-4.028174;ZAC DE PENHOAT SALAUN POLE COMMERCIAL QUAI 29;29170;PLEUVEN;02.98.56.05.67;02.98.56.64.99;01-11,11-11,25-12;www.e-leclerc.com/fouesnant-pleuven;29161;N;N;Y;N;N;Y;Y;N;N;N;Y;Y;Y;N;Y;N;Y
3544;GUERANDE;SCAOUEST;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;09:00;;;20:00;;;;;47.32814;-2.412636;ZAC DE VILLEJAMES;44350;GUERANDE;02.40.62.48.48;02.40.62.48.49;01-11,11-11,25-12;www.e-leclerc.com/guerande;44069;N;Y;Y;N;N;Y;Y;N;N;N;Y;Y;Y;N;Y;N;Y
3629;DOUARNENEZ;SCARMOR;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;;;19:30;09:00;13:00;;;48.092396;-4.345409;TOUBALAN;29100;DOUARNENEZ;02.98.74.29.00;02.98.74.34.81;01-11,11-11,25-12;www.e-leclerc.com/douarnenez;29046;N;Y;Y;N;N;Y;Y;N;N;N;Y;Y;N;N;Y;N;Y
3644;BASSE GOULAINE;SCAOUEST;08:30;;;20:45;08:30;;;20:45;08:30;;;20:45;08:30;;;20:45;08:30;;;21:00;08:30;;;21:00;;;;;47.18752;-1.47072;ROUTE DE CLISSON;44115;BASSE GOULAINE;02.51.79.54.54;02.40.34.96.70;15-08,01-11,25-12;www.e-leclerc.com/basse-goulaine;44009;N;N;Y;N;N;Y;Y;N;N;N;N;Y;N;N;Y;N;Y
